PID,totalvolume,x,y,z
8961,1.944,297916.667,1999683.333,5357.17
9299,2.09,297983.333,1999683.333,5356.979
9304,2.38,298116.667,1999683.333,5356.551
9646,2.511,298183.333,1999683.333,5356.245
9651,2.746,298316.667,1999683.333,5355.477
9995,2.854,298383.333,1999683.333,5355.03
10000,3.05,298516.667,1999683.333,5354.067
10343,3.136,298583.333,1999683.333,5353.527
10348,3.336,298716.667,1999683.333,5352.612
10692,3.442,298783.333,1999683.333,5352.205
10697,3.735,298916.667,1999683.333,5351.871
11040,3.899,298983.333,1999683.333,5351.829
11045,14.102,299116.667,1999683.333,5351.215
11382,21.746,299183.333,1999683.333,5351.588
11730,0.525,299516.667,1999683.333,5353.506
12064,0.657,299583.333,1999683.333,5353.755
12069,0.696,299716.667,1999683.333,5354.268
20009,0.19,307316.667,1999683.333,5329.081
20058,0.277,307376.531,1999683.333,5329.793
20063,0.951,307503.062,1999683.333,5332.712
12398,0.435,299785.973,1999693.695,5354.672
20093,1.402,307583.951,1999702.405,5332.39
920,0.922,292428.351,1999716.667,5390.199
919,0.945,292495.017,1999716.667,5389.397
1167,1.435,292616.667,1999716.667,5387.175
1166,0.388,292683.333,1999716.667,5384.991
1424,18.065,292816.667,1999716.667,5380.403
1423,18.671,292883.333,1999716.667,5378.566
1681,17.298,293016.667,1999716.667,5373.558
1680,14.474,293083.333,1999716.667,5371.087
1945,10.218,293216.667,1999716.667,5368.652
1944,8.924,293283.333,1999716.667,5368.12
2208,5.362,293416.667,1999716.667,5367.943
7946,3.284,297216.667,1999716.667,5355.353
7945,2.511,297283.333,1999716.667,5355.871
11043,2.137,299016.667,1999716.667,5351.929
11042,9.678,299083.333,1999716.667,5351.404
11385,19.568,299216.667,1999716.667,5351.944
11384,4.511,299283.333,1999716.667,5352.393
11727,0.217,299483.333,1999716.667,5353.458
12067,0.681,299616.667,1999716.667,5353.949
12066,0.787,299683.333,1999716.667,5354.166
20006,0.232,307283.333,1999716.667,5329.104
20061,0.567,307409.865,1999716.667,5330.523
20060,0.894,307476.531,1999716.667,5331.887
12397,0.124,299827.194,1999727.029,5355.099
689,0.219,292317.125,1999737.319,5390.444
20095,0.226,307624.363,1999759.057,5330.672
690,0.368,292302.478,1999767.262,5388.459
20098,0.625,307599.271,1999782.509,5330.262
923,1.181,292416.667,1999783.333,5387.515
924,1.388,292483.333,1999783.333,5387.724
1170,0.686,292616.667,1999783.333,5387.258
1171,1.844,292683.333,1999783.333,5385.505
1427,17.599,292816.667,1999783.333,5381.278
1428,16.43,292883.333,1999783.333,5379.079
1684,14.628,293016.667,1999783.333,5373.511
1685,8.228,293083.333,1999783.333,5371.059
1948,0.189,293216.667,1999783.333,5370.425
7949,2.363,297216.667,1999783.333,5355.74
7950,1.603,297283.333,1999783.333,5356.327
11046,2.005,299016.667,1999783.333,5352.011
11047,9.823,299083.333,1999783.333,5351.757
11388,19.682,299216.667,1999783.333,5352.22
11389,5.175,299283.333,1999783.333,5352.675
11731,0.893,299416.667,1999783.333,5353.386
11732,1.275,299483.333,1999783.333,5353.654
12070,1.807,299616.667,1999783.333,5354.109
12071,1.91,299683.333,1999783.333,5354.208
13065,0.514,300216.667,1999783.333,5357.89
14391,0.212,301016.667,1999783.333,5361.692
14392,0.353,301083.333,1999783.333,5362.013
14689,0.599,301216.667,1999783.333,5362.462
14690,0.672,301283.333,1999783.333,5362.377
14980,0.832,301416.667,1999783.333,5362.134
14981,0.882,301483.333,1999783.333,5361.792
15265,1.003,301616.667,1999783.333,5361.127
15266,1.065,301683.333,1999783.333,5360.775
15545,1.202,301816.667,1999783.333,5360.09
15546,1.27,301883.333,1999783.333,5359.747
15820,1.409,302016.667,1999783.333,5359.063
15821,1.476,302083.333,1999783.333,5358.719
16083,1.609,302216.667,1999783.333,5358.038
16084,1.673,302283.333,1999783.333,5357.697
16342,1.748,302416.667,1999783.333,5357.02
16343,1.75,302483.333,1999783.333,5356.684
